device_id,gender_id
B-52-2869,1
B-52-27664,2
B-52-17005,2
B-52-950,2
B-52-20463,2
B-52-44555,2
B-52-34637,1
B-52-39767,2
B-52-14231,2
B-52-11533,1
B-52-6422,1
B-52-48583,2
B-52-34941,2
B-52-21166,1
B-52-35207,1
B-52-2147,1
B-52-22667,1
B-52-43358,2
B-52-5776,2
B-52-43643,1
B-52-1558,2
B-52-22800,2
B-52-32186,2
B-52-15732,1
B-52-27246,2
B-52-3572,
B-52-19532,2
B-52-6365,2
B-52-36518,2
B-52-11172,1
B-52-22059,1
B-52-21280,1
B-52-40508,1
B-52-43263,2
B-52-31445,2
B-52-16131,2
B-52-30438,2
B-52-37658,2
B-52-40090,1
B-52-1786,1
B-52-47728,2
B-52-11210,1
B-52-17347,2
B-52-35492,2
B-52-228,2
B-52-7866,1
B-52-11400,2
B-52-38399,2
B-52-31749,1
B-52-52402,1
B-52-39235,
B-52-10545,2
B-52-19741,2
B-52-49647,2
B-52-38247,2
B-52-24054,
B-52-19874,1
B-52-30210,2
B-52-10716,1
B-52-38779,2
B-52-34428,1
B-52-14383,2
B-52-32718,1
B-52-21717,2
B-52-29811,1
B-52-51338,1
B-52-4693,2
B-52-37563,1
B-52-32851,1
B-52-34238,1
B-52-7011,2
B-52-16150,2
B-52-32756,2
B-52-51623,2
B-52-5396,2
B-52-9253,1
B-52-30951,2
B-52-26315,1
B-52-12825,2
B-52-34713,1
B-52-17613,2
B-52-42921,2
B-52-50407,2
B-52-25175,2
B-52-2926,2
B-52-29906,2
B-52-18164,2
B-52-33934,2
B-52-16207,2
B-52-45296,1
B-52-3876,1
B-52-7961,1
B-52-8189,2
B-52-36765,1
B-52-49362,1
B-52-20938,2
B-52-23560,2
B-52-1197,
B-52-2812,1
B-52-25555,2
B-52-12217,1
B-52-51281,2
B-52-46873,1
B-52-39710,1
B-52-46683,2
B-52-25688,2
B-52-42085,1
B-52-30704,2
B-52-48697,1
B-52-23180,2
B-52-5966,1
B-52-9500,2
B-52-20824,2
B-52-30723,2
B-52-51889,1
B-52-33972,1
B-52-46759,
B-52-30685,2
B-52-47196,1
B-52-3382,1
B-52-17157,2
B-52-9956,1
B-52-8455,1
B-52-39881,2
B-52-8873,1
B-52-34333,1
B-52-46512,1
B-52-21812,2
B-52-18601,2
B-52-20786,2
B-52-23712,1
B-52-16872,2
B-52-20919,1
B-52-39653,2
B-52-52478,2
B-52-17233,1
B-52-33573,1
B-52-8474,1
B-52-30267,1
B-52-51091,2
B-52-3591,2
B-52-7847,2
B-52-50863,2
B-52-24092,1
B-52-43396,2
B-52-21470,
B-52-44175,2
B-52-17480,2
B-52-14858,1
B-52-9424,2
B-52-5282,1
B-52-45980,2
B-52-29450,2
B-52-836,2
B-52-29355,2
B-52-7448,1
B-52-32205,1
B-52-13224,
B-52-41059,2
B-52-41534,2
B-52-8493,1
B-52-1520,2
B-52-3553,2
B-52-1596,
B-52-40983,2
B-52-45144,1
B-52-30134,2
B-52-30761,2
B-52-35758,2
B-52-3667,1
B-52-16378,2
B-52-51794,1
B-52-41762,1
B-52-17689,2
B-52-35663,2
B-52-4807,2
B-52-30305,1
B-52-20843,2
B-52-25992,2
B-52-8170,1
B-52-30875,2
B-52-49077,1
B-52-1976,2
B-52-43529,2
B-52-46075,1
B-52-43947,1
B-52-4579,1
B-52-36062,2
B-52-46854,1
B-52-32604,1
B-52-37069,2
B-52-32509,2
B-52-26999,2
B-52-45600,
B-52-44840,1
B-52-13471,1
B-52-46550,2
B-52-26619,2
B-52-49552,2
B-52-38076,1
B-52-50939,2
B-52-22781,2
B-52-437,1
B-52-10013,2
B-52-2337,2
B-52-43472,2
B-52-6498,2
B-52-10792,2
B-52-42978,2
B-52-26030,1
B-52-8246,2
B-52-16264,2
B-52-608,1
B-52-38798,2
B-52-6308,1
B-52-7923,1
